sales_map_rows;Year;Month;Region;Division;State;City;Customer;Address;Longitude;Latitude;SalesChannel;Market_Segment;Sales
1;2014;December;Midwest;East North Central;IL;Addison;Travis Ruffin;410 W North Ave;-88;41.91;Sales Channel 2;Juices;15636
2;2014;December;Midwest;East North Central;IL;Algonquin;Madelaine Angerer;125 S Randall Rd.;-88.34;42.17;Sales Channel 4;Sports Drinks;16417.8
3;2014;December;Midwest;East North Central;IL;Algonquin;Yvette Willaims;500 E Algonquin Rd;-88.29;42.16;Sales Channel 4;Sports Drinks;17238.69
4;2014;December;Midwest;East North Central;IL;Altamont;Yolanda Zamarripa;1010 S Main;-88.75;39.05;Sales Channel 1;Infusions;18100.6245
5;2014;December;Midwest;East North Central;IL;Alton;Kayleigh Feggins;717 E Broadway;-90.17;38.89;Sales Channel 2;Sports Drinks;19005.65573
6;2014;December;Midwest;East North Central;IL;Arcola;Maisha Behen;550 E Springfield Rd;-88.3;39.68;Sales Channel 4;Juices;19955.93851
7;2014;December;Midwest;East North Central;IL;Arlington Hts;Ebonie Barmes;45 E Golf Rd;-87.98;42.05;Sales Channel 2;Juices;20953.73544
8;2014;December;Midwest;East North Central;IL;Arlington Hts.;Oliva Warnberg;15 E Dundee Rd;-87.98;42.14;Sales Channel 2;Softdrinks;22001.42221
9;2014;December;Midwest;East North Central;IL;Aurora;Amber Montney;711 E New York St;-88.3;41.75;Sales Channel 4;Infusions;23101.49332
10;2014;December;Midwest;East North Central;IL;Aurora;Esther Boissonneault;1185 N Farnsworth;-88.28;41.78;Sales Channel 2;Juices;24256.56799
11;2014;December;Midwest;East North Central;IL;Aurora;Laverne Lafay;1505 Butterfield Road;-88.28;41.81;Sales Channel 1;Softdrinks;25469.39638
12;2014;December;Midwest;East North Central;IL;Aurora;Phuong Huels;4440 Fox Valley Shctr;-88.21;41.76;Sales Channel 1;Juices;26742.8662
13;2014;December;Midwest;East North Central;IL;Aurora;Tamie Lowa;425 N Eola;-88.25;41.75;Sales Channel 2;Juices;28080.00951
14;2014;December;Midwest;East North Central;IL;Batavia;Nicolle Hemlepp;125 W Wilson;-88.31;41.85;Sales Channel 2;Juices;29484.00999
15;2014;December;Midwest;East North Central;IL;Beardstown;Vernie Deforest;One Plaza Street;-90.44;40;Sales Channel 2;Juices;30958.21049
16;2014;December;Midwest;East North Central;IL;Beecher;Malka Dong;IL Rt 1;-88.79;39.19;Sales Channel 4;Sports Drinks;32506.12101
17;2014;December;Midwest;East North Central;IL;Bellwood;Kaye Caddell;520 25th Street;-87.86;41.88;Sales Channel 2;Juices;15636
18;2014;December;Midwest;East North Central;IL;Belvidere;Emily Tierman;Belvidere Oasis MM 54.5 [5111 Pearl St];-88.83;42.23;Sales Channel 4;Softdrinks;16417.8
19;2014;December;Midwest;East North Central;IL;Belvidere;Wendie Dantos;Belvidere Oasis MM 54.5 [5111 Pearl St];-88.83;42.23;Sales Channel 4;Infusions;17238.69
20;2014;December;Midwest;East North Central;IL;Berkeley;Ehtel Floresca;5707 St Charles Rd;-87.91;41.89;Sales Channel 4;Softdrinks;18100.6245
21;2014;December;Midwest;East North Central;IL;Berwyn;Marinda Gregware;6900 W Ogden Ave;-87.8;41.83;Sales Channel 4;Juices;19005.65573
22;2014;December;Midwest;East North Central;IL;Berwyn;Nicky Lehmer;7181 W Cermak Rd;-87.8;41.85;Sales Channel 4;Infusions;19955.93851
23;2014;December;Midwest;East North Central;IL;Berwyn;Nicky Lehmer;7181 W Cermak Rd;-87.8;41.85;Sales Channel 4;Softdrinks;20953.73544
24;2014;December;Midwest;East North Central;IL;Bloomingdale;Emory Dufour;101 E Lake St;-88.08;41.96;Sales Channel 1;Softdrinks;22001.42221
25;2014;December;Midwest;East North Central;IL;Bloomington;Merrie Seller;3102 E Empire St;-88.92;40.49;Sales Channel 2;Juices;23101.49332
26;2014;December;Midwest;East North Central;IL;Blue Island;Anthony Shary;11920 S Western Ave;-87.68;41.68;Sales Channel 4;Softdrinks;24256.56799
27;2014;December;Midwest;East North Central;IL;Bolingbrook;Ariane Yurchak;295 N Naperville Rd;-88.13;41.7;Sales Channel 4;Juices;25469.39638
28;2014;December;Midwest;East North Central;IL;Bolingbrook;Ariane Yurchak;295 N Naperville Rd;-88.13;41.7;Sales Channel 4;Sports Drinks;26742.8662
29;2014;December;Midwest;East North Central;IL;Bolingbrook;Charlette Milke;100 N Bolingbrook Dr;-88.07;41.7;Sales Channel 4;Juices;25405.72289
30;2014;December;Midwest;East North Central;IL;Bourbonnais;Ngoc Busto;2050 N State Road 50;-87.85;41.19;Sales Channel 4;Sports Drinks;26676.00904
31;2014;December;Midwest;East North Central;IL;Bourbonnais;Tina Bledsaw;575 Main St NW;-87.89;41.16;Sales Channel 2;Softdrinks;28009.80949
32;2014;December;Midwest;East North Central;IL;Bradley;Hortencia Colone;1180 North Kinzie;-87.85;41.16;Sales Channel 4;Infusions;29410.29996
33;2014;December;Midwest;East North Central;IL;Bridgeview;Meryl Brents;8611 S Harlem Avenue;-87.8;41.73;Sales Channel 4;Infusions;30880.81496
34;2014;December;Midwest;East North Central;IL;Buffalo Grove;Earleen Tushoski;1200 N Arlington Heights Rd;-87.98;42.17;Sales Channel 4;Juices;32424.85571
35;2014;December;Midwest;East North Central;IL;Byron;Marian Raines;105 N Union St;-89.26;42.13;Sales Channel 2;Softdrinks;34046.0985
36;2014;December;Midwest;East North Central;IL;Cahokia;Ophelia Alicandro;1110 Camp Jackson Rd;-90.18;38.56;Sales Channel 4;Juices;35748.40342
37;2014;December;Midwest;East North Central;IL;Carbondale;Micheal Korf;2102 W Main St;-89.24;37.73;Sales Channel 4;Sports Drinks;37535.82359
